utterance	label_0	label_1	label_2
식욕 떨어지는 원인이 궁금해	5	5	90
혼자 있으면 안 좋은 사고가 벌어질 거 같아요	10	10	80
아무 이유 없이 몸이 처져	10	20	70
걸레질 하다가 갑자기 현타 와	10	20	70
슬럼프 때문에 죽을 맛이야	10	10	80
이유도 없이 잠이 안 와	10	10	80
하루 종일 안절부절하고 몸도 무거워서 침대에서 일어나기도 힘들어	20	10	70
중증근무력증 때문에 희망이 안 보여.	5	90	5
살고자 하는 생각이 없는 것 같아	5	90	5
즐거운 생각을 하려고 해도 자꾸 절망적인 생각에 휩싸이게 돼	10	80	10
뛰어내리고 싶네	5	90	5
시어머니때문에 뛰어내릴 생각만 해	10	70	20
잠들지를 못 하니까 밤새서 게임만 해	10	20	70
손님이 짜증을 내면 순식간에 기분이 가라앉으면서… 	10	20	70
살고 싶은 생각이 없어요	20	70	10
임신한 내가 미워	70	10	20
사소한 거에도 마음이 조마조마해지고 의욕이 하나도 안 생겨	5	5	90
아무튼 하루종일 너무 우울했어.	5	5	90
업무 스트레스 때문에 피곤하고 몸이 무거워	5	5	90
근데 요즘 남편이 날 너무 짜증나게 해.	70	10	20
패배감 때문에 아무것도 못할 지경이야.	5	90	5
내 몸이 잘 생각이 없는 것 같아	5	5	90
마음이 추워.	5	90	5
지금 병원 다니면서 치료는 받고 있는데 요즘 좀 우울해.	20	10	70
왜냐면 시댁식구들을 대하는게 너무 힘들거든..	10	10	80
다들 잘 사는데 나만 이런것 같아서 너무 구질구질하게 느껴져	20	70	10
마음잡고 영화 보려고 해도 자꾸 집중이 흐트러지는 것 같은 기분이 들고.. 꿀꿀하고..	5	5	90
자꾸 자다 꺠는 이유가 아무래도 애때문인 것 같아	20	10	70
기가 차고 어이가 없어서 정말..	90	5	5
이대로 그냥 죽었으면 좋겠다…	20	70	10
내가 고작 이정도의 인간이었나 싶으니까 마음이 정말 괴로워	70	20	10
이 세상에 그런 여우는 또 없을 거야.	80	10	10
밥을 차려주면 수동적으로 먹는 편이야	10	20	70
나 때문에 아이가 고생하는구나 싶어서 너무 슬프고 죄책감이 심해져	10	80	10
이게 뭐 딱히 누구를 탓할 수도 없는 거라 더 힘들어요.	70	20	10
임신 전에 관리를 못한 것 같아서 아이한테 다 미안해	20	70	10
그만둘까도 생각했는데, 당장 대출에 카드값에… 생각하면 더 절망스러워.	10	70	20
근데 3년이 지나도 애가 안 들어서는 거야. 그 때 좀 힘들었어.	10	10	80
계속 미워지는 걸 어떡해	10	70	20
이유 없이 막 미워져	10	70	20
흙수저라 아무리 노력해봐도 안 된다는 생각이 드니까 그냥 다 포기했어	10	70	20
딸 아이 선생님만 만나면 왜 실수할 거 같은 느낌이 드는지 모르겠어	5	90	5
그래서 5월에 자살시도를 했었어.	10	80	10
전공도 나랑 안 맞고 공부 자체가 너무 힘들다.	20	10	70
마음이 허하고 나 혼자인 기분이야	5	90	5
임산부인데도 피부 좋은 사람들 보면 진 것 같고 우울해지고 그래요	5	90	5
잠이 안 오니까 그냥 멍하니 있어	10	20	70
식욕이 뚝 떨어졌어요.	20	10	70
그렇게 열심히 관리했는데도 수술해야 한다는 소리 들으니까 세상 무너지는 것 같았어	70	10	20
원래는 엄청 잘 잤는데 잠들기 전에 우울한 생각만 들어서 요새는 못 자	10	20	70
유산하고 어느 순간 피해망상에 시달리고 있다는걸 깨달았어	80	10	10
다들 나를 천시하는 것 같아서 심적으로 너무 힘드네	10	70	20
죽으려고 건물 옥상까지 올라갔다가.	10	80	10
우울한데 혼자사니까 더 외롭고 힘들고…	5	5	90
근데 대학 들어오니까 또 우울해져가지고…	10	20	70
너무 원망스러워서 소리까지 질렀어	90	5	5
하나에 집중 못 하는 제가 한심한 것 같기도 하고…	5	5	90
왜냐하면 내가 이렇게 우울한 이유가 엄마 때문이거든.	10	20	70
학교 스트레스가 심한 건지 몸이 너무 처진다	5	5	90
약간만 의견이 안 맞아도 나를 빈정대는 것 같이 느껴져.	10	70	20
임신하고 회사 잘려서 루저가 된 기분이었어.	5	90	5
뭘 해도 기분이 올라오지 않아	90	5	5
마음이 텅 빈 것 같고 슬퍼요	90	5	5
자꾸 깨니까 낮에 정신을 못 차리겠어	5	5	90
우리 집이 가난해서 시부모님이 항상 나를 얕잡아 봤어.	10	80	10
이것만으로도 제 인생이 끝난 것 같아요.	20	70	10
신랑이 일을 안 나갔으면 좋겠어	10	80	10
몸이 피곤하고 무거워서 집안일도 다 미뤄놨어	10	20	70
감정기복이 너무 심해서 힘들어	5	5	90
요즘 아무 이유 없이 죄책감에 시달리고 있어	10	80	10
입맛도 없고 잠도 안 오고 기분이 자꾸 축 쳐지네요.	5	5	90
서울에서 지내는 동안 정말 너무 힘들었어.	10	10	80
잠을 설쳐버려서 계속 눈물만 나	10	10	80
그래서 짜증나 죽겠어	10	80	10
기력이 없어요….	10	20	70
힘이 빠져서 자꾸 눕게 돼	20	10	70
그때부터 정신이 멍해지고 갑자기 소름이 돋으면서 무섭더라고.	20	10	70
자존감이 바닥치니까 하루하루가 괴로움의 연속이야	80	10	10
매일매일 절망 속에 빠져있는 것 같아	10	80	10
친정만 가면 아무것도 못 하겠어	5	5	90
하루 종일 자는 거 같아	10	20	70
우울함이 심한날에는 잠을 잘 못자요.	5	5	90
한국화를 배우는데 소질이 없어서 더 우울하고.	5	5	90
남편보단 엄마아빠가 보고 싶어서 자꾸 설움이 복받치는 것 같아	10	20	70
이런 일이 생기니까 죽어버리고 싶어요.	20	70	10
지금 이 시간이 죽을 것처럼 헛되게 느껴져요	80	10	10
죽고 싶은 생각도 들고, 다 포기하고 싶을 때가 많아.	20	70	10
우울해서 불면이 온 걸까	10	10	80
계속 토하거나 토할 것 같으니까 움직일 힘이 없어	10	10	80
밖에 나갈 일이 생기면 모아뒀다가 한번에 처리하죠.	20	10	70
육아 걱정에 살만 쪄	10	10	80
평범하게 사는 게 왜 이렇게 어려울까요?	10	10	80
맛있는 걸 먹어도 우울하다니까	80	10	10
가끔 내가 너무 바보같이 느껴져.	20	70	10
하루에 대부분을 기분이 다운된 상태로 있어요	5	5	90
하루하루가 지옥같고… 맨날 죽고 싶었고.	5	90	5
1대1 면접을 보는데 면접관 눈을 못 쳐다보겠더라.	10	10	80
밥도 먹기가 힘들어.	5	5	90
나 자신이 멍청해보이고 사는것도 괴로우니까 자꾸 숨게 돼	10	70	20
딱히 이유가 있는건 아니고 그냥 자주 우울한 편이예요.	20	10	70
총체적 난국이라 진짜 너무 우울하고 힘들다…	20	10	70
잠이 안 와서 오 분도 못 잘 것 같아	10	20	70
이렇게 아이를 낳는 게 맞는 건가 자꾸 불안해지고 울적해져요	10	10	80
사회에 나와서는 아무것도 할 수 없는 바보가 된 것 같아.	10	80	10
그래서 많이 힘들고 불편해.	10	10	80
남편이랑 사이가 틀어지고 자존감도 떨어지고 하루하루가 괴롭게 느껴져	70	20	10
남편조차 나를 손가락질하는것 같아서 마음 둘 곳이 없어	20	70	10
기운도 없고 입맛도 없어.	5	5	90
먹고 싶은 것도 가고 싶은 곳도 없고 계속 다운 모드야	80	10	10
맨날 목 매달면 좋겠다는 생각만 하게 돼요	20	70	10
몸무게가 줄어서 일상이 괴로워요	10	10	80
점점 더 학교에 나가는게 힘들었어요.	10	20	70
좋아하는 영화 봐도 기운이 안 나	10	20	70
메뉴 정하는 게 너무 오래 걸리는 편이에요	10	20	70
항상 불행하다고 우울해했는데.	10	10	80
친구들이랑 연락하기 힘드니까 자꾸 적적해지는 중인 것 같아	10	70	20
정말 지독하게 허무해.	5	5	90
딸이라고 해서 시댁 태도가 변하니까 허망하다	70	10	20
아무 이유 없이 희망이 사라진 기분이야	20	10	70
엄청 우울했는데 그래도 많이 추슬렀지.	5	5	90
오늘따라 더 우울해요.	20	10	70
신랑이 이것저것 도와주는데도 힘이 안 생겨	10	10	80
집에 오는데 모두 다 박살 내고 싶고 죽이고 싶었어.	70	20	10
수면 시간이 그냥 눈만 감았다 뜨는 수준이야	20	10	70
어떻게 하면 식욕이랑 우울증이 해결되니	20	10	70
왜 그렇게 얄미운 짓만 하는지 모르겠어	10	80	10
너무 힘들었으니까요.	10	10	80
가족들조차 그러니까 마음이 무너졌어	5	90	5
너무 우울해서 그냥 죽어버리고 싶어요…	10	10	80
혼자인 것 같아	20	70	10
낮에는 잘 자는데 밤에는 전혀 못 자고 침울해지고 그래	20	10	70
목숨 끊어버리고 싶어	5	90	5
기적처럼 와준 아이를 보내야 한다는 생각에 너무 허망한 거야	70	20	10
인생이 다 무슨 의미냐고. 이러다 미칠지도 몰라.	20	70	10
손발이 다 잘려서 아무것도 할 수 없게 된 느낌이야	10	70	20
식욕이 바닥까지 떨어진 느낌이야	10	10	80
내 인생은 정말 하찮아.	10	80	10
혼자 있을 때 항상 패배감을 느껴.	20	70	10
힘들 때 생각나는 사람이 없어요	10	80	10
맨날 집에 틀어박혀서 게임만 했지.	20	10	70
피곤하고 멍해서 죽겠어	90	5	5
나 왜 이렇게 약해진 것 같지?	10	20	70
우울해. 살고 싶지 않아.	20	10	70
너무 감정기복이 심해져서 어린애가 된 기분이야	10	20	70
애를 낳겠다고 한 내가 바보야	70	20	10
짐 싸서 나가버릴까 하루에도 몇 십 번씩 상상을 해	5	5	90
너무 우울한데 치킨은 먹고 싶어.	5	5	90
살이 빠지는 이유을 모르겠어	20	10	70
진짜 모든 욕구가 사라진 것 같은 기분이야	80	10	10
그래서 너무 우울할 때면 막 죽고 싶은 생각이 종종 들었어.	10	70	20
그럼 나보고 뭘 어쩌란 건지 너무 허무해	70	10	20
내 얼굴에 자신이 없어서 그런지 자꾸 목소리도 기어들어가.	5	90	5
옆에 누가 있을 때면 잠드는 게 진짜 힘들어	20	10	70
성관계를 너무 자주 했더니 식욕이 줄더라.	10	10	80
혼자 있으면 아무것도 못 하겠어	10	20	70
세탁기에서 탈수 당한 기분이야	5	5	90
감정이 휙휙 바뀌고 내가 감정을 전혀 조절할 수 없는 거 같아	5	5	90
노산이라 기형아를 낳을까 봐 우울하고 자신이 없어요	5	90	5
자다가도 너무 자주 깬다	10	20	70
가진게 없어서 다들 나를 얕보는거겠지	20	70	10
하도 많이 떨어지니까 점점 자신감이 없어지는 것 같아.	20	10	70
아기 잃고 인생에 희망을 모조리 잃었어	5	5	90
책도 읽기 힘들고 우울하고 그래	20	10	70
입맛도 없어서 커피만 하루에 대여섯잔 마시다보니 살도 6kg이나 빠졌어.	10	10	80
모두가 이렇게 서글프고 허무한 거니	90	5	5
혼자 겉도니까 너무 힘들어	10	70	20
나 같은게 아기 엄마가 될 자격이 있는건가 싶고 한숨만 나오네	10	80	10
용기도 없고, 자신감도 없고, 그냥 아무것도 하기 싫어요.	5	5	90
검진 받으러 가는 날이면 기분이 초단위로 바뀌는 거 같아	5	5	90
대화가 안 통하니까 세상 침울합니다	90	5	5
손목만 그으면 다 끝나지 않을까?	20	70	10
출산 후 생각하면 막막해서 무기력해지고 우울해요	70	20	10
아기가 안 생기니까 너무 절망적이더라고	10	80	10
왜 이렇게 입맛이 없지	20	10	70
항상 눈초리를 받는 것 같아서 힘이 들어요	20	70	10
나는 전혀 그러고 있지 않은 것 같아서 우울해…	20	10	70
드라마 내용을 놓치네요	10	20	70
집에만 들어가면 한숨부터 나오고 기분이 안좋아.	5	5	90
요즘 계속 우울한 기분들이 사라지지 않아.	10	10	80
힘이 없어서 우울해	10	20	70
나락으로 떨어지는 기분이 들고 너무 고통스러워	80	10	10
딱히 체중에는 큰 변화가 없는데 도무지 입맛이 없더라구요.	5	5	90
외로워서 힘들어	20	70	10
힘이 쑥 빠져서 무슨 계획을 못 세우겠어	10	20	70
심각하게 의욕상실이다	80	10	10
길거리에 나가면 사람들이 전부 나를 비웃는 것 같고 그래.	10	80	10
술을 잔뜩 마시고 정신이 없는 상태에서 손목을 그었어요.	20	70	10
왜 형들은 저렇게 떵떵거리고 우리 부모님은 왜 날 안 도와주는 건가.	70	20	10
둘째 계획은 전혀 없었는데 임신해서 마음이 아팠어요	10	20	70
시어머니한테 전화 오면 신경질이 나	90	5	5
고장 난 것처럼 힘이 안 생겨	5	5	90
임당해야 할 생각에 마음이 괴로웠어요	10	10	80
임신하고서도 좋은 걸 챙겨먹지 못하니까 아이한테 진짜 죄책감 들어	20	70	10
식욕도 없는데 어떤 일도 너무 하기 싫다	10	10	80
너무 절망적이라서 운동을 시작해도 힘들어요	5	90	5
몸도 피곤하고 마음은 초조해서 밤에 잠이 안 올 정도야	5	5	90
막달 들어서니까 몸이 굉장히 처지네	20	10	70
하루에 한 시간밖에 못 자는 것 같아	10	20	70
매일 죽고 싶단 생각뿐이야.	10	80	10
죄인이라는 생각이 들어서 밥을 못 먹겠어	20	70	10
족욕을 해도 잠은 안 오고 답답해	10	10	80
어울리지 못하니까 사는 게 끔찍해	5	90	5
자꾸 눈치를 주니까 너무 힘들어.	5	90	5
너무 무기력해지고 외출도 하고 사람들과 만나서 얘기도 하고 싶어	5	5	90
회사때문에 살고 싶지가 않아	10	80	10
신경질이 나는 게 너무 나를 괴롭히는 거 같아	90	5	5
살 너무 빠져서 찌워보려고 해도 잘 안 돼	10	20	70
가족들의 태도에 너무 화가 났었어.	90	5	5
자신감 안 생긴다	10	20	70
절대 안정을 취한다고 아무것도 안 하니까 진짜 재미있는 거리를 못 찾겠어	80	10	10
신랑과의 사이가 좋아지기 위해 혼자 애쓴 것 같고 아무 소용없었어요	80	10	10
한 시간에 몇 번씩 깨	20	10	70
너무 과민반응하게 돼	10	20	70
그때 이후로 지금까지 해마다 가을이 되면 우울해.	10	10	80
식욕저하 때문에 정신이 몽롱할 정도야.	10	20	70
가족들때문에 성격이 과민해졌어	5	5	90
혼자 외톨이가 된 기분이 들어요	10	70	20
그 때 엄청 우울했는데 대학 가면 괜찮아지겠지 라는 생각으로 버텼어요.	20	10	70
두 번 유산했던 과거 때문에 마음이 괴로워	10	10	80
나 요즘 너무 힘들어.	5	5	90
작년 초부터 너무 집중이 안 되는데.	10	10	80
시댁에서 결혼을 반대하니까 내 인생이 한심스럽게 느껴지더라고	10	80	10
작은 일도 모든 게 다 힘들고 사람들이 날 욕할 것 같아	10	20	70
깊게 자보려고 해도 잘 안 돼	10	10	80
그 소식 듣고 나니까 진짜 너무 절망적인 거예요.	5	90	5
슬럼프 때문에 시간이 멈춘 거 같아	20	10	70
갈수록 지치고 절망적이야	10	70	20
모든 게 귀찮고 아무것도 하기 싫고 숨쉬는 것도 괴로워	10	20	70
우울한 기분을 참을 수 없어 병원에 갔어요.	20	10	70
그런데 기분이 한 번 나빠지기 시작하면 극단으로 치달아요.	10	10	80
식욕이 떨어져버림.	5	5	90
다들 잘 사는데 내 인생만 암담한것 같아요	10	10	80
고용한 사람들 일일이 관리해줘야 하는 것도 귀찮고… 그냥 다 귀찮아요.	20	10	70
남친이 아기를 지우라고 하니까 나 자신이 더럽고 한심스럽게 느껴졌어	20	70	10
식욕이 없어졌어.	5	5	90
왜 나만 입덧에 호르몬 때문에 고생하는지 너무 서러워	20	10	70
우울감이 이렇게 길게 이어진 적이 없어요.	5	5	90
하루에 한 끼 먹으면 많이 먹는 거일 정도로 입맛 없어서 그냥 틈만 나면 굶었어.	10	10	80
2주전에 자살시도를 했어.	20	70	10
남편이랑 대화를 하다보면 내가 점점 가치 없는 인간처럼 느껴지더라	20	70	10
눈총을 심하게 받고 있어.	10	80	10
엄마가 되면 평생 참고 살아야 한다는 생각에 눈물이 나	5	5	90
배가 부른지 어떤지도 모르겠어요. 그냥 막 먹어요.	20	10	70
밥맛이 땅 속에 꺼진 느낌이야	10	10	80
혼자 있으면 탈력감이 심해져	10	20	70
강아지때문에 뒤척거릴 수밖에 없어	20	10	70
현타온 뒤로 너무 외로워	80	10	10
평소에 우울할때가 많아요.	5	5	90
초조한 마음은 드는데 의욕은 줄어서 산책 나가기도 너무 귀찮아	10	10	80
입맛이 없으니까 계속 체중이 줄어	20	10	70
모든 걸 다 잃었다는 생각이 들어서 자괴감 심해	20	10	70
불면증때문에 미쳐버릴 지경이야	5	5	90
내 부모는 어디 있지, 왜 나를 버린 거야....	90	5	5
한 달 전부터 우울했고 잠도 못 잤어	5	5	90
자꾸 늘어지는 게 너무 끔찍해	10	20	70
스트레스때문에 밥 먹기도 귀찮다	10	10	80
평소의 반 정도밖에 못 자게 됐어	10	20	70
너무 상처가 컸어요.	5	5	90
동창들이 나를 무시하니까 내가 하찮게 느껴져.	10	70	20
마음이 텅 빈 거 같고 외롭다	10	70	20
요새 빡 치는 문제들 천지라서 진짜 야마가 도는 것 같아	10	10	80
아무 이유 없이 힘이 없어	20	10	70
면접에서 계속 떨어지니까 자존감이 바닥을 치고 있어	5	90	5
더 이상 즐겁지가 않아	70	10	20
살아서 뭐하나 싶어.	10	80	10
집중력이 흐릿하다	10	20	70
요즘 정말 하루하루 죽고 싶단 생각밖에 안 해요.	20	70	10
운동 다녀오면 오히려 몸이 더 묵직하게 느껴지고 피곤해	10	10	80
얼른 수능이 끝나버렸으면 좋겠어요. 진짜 너무 힘들고 괴로워서…	5	5	90
알약으로 되어 있는데 여덟 봉을 한꺼번에 털어 넣다가.	10	80	10
임신한 내가 원망스러워	70	20	10
욕 먹는 느낌이라 이제 회사도 못 가겠어	80	10	10
나 요즘 너무 위축된 거 같아	10	70	20
너무 서러워서 아무것도 못하겠어	20	10	70
너무 고통스럽고 인생이 무겁게 느껴져요	90	5	5
거의 식사를 굶고 하루에 한끼 할까말까 정도…	5	5	90
너무 화가 나서 자리를 박차고 나와서 인권위원회에 신고를 했는데.	90	5	5
이게 다 무슨 의미가 있겠어	70	20	10
그 눈빛들이 날 계속 노려보는 게 느껴져서 너무 괴롭고 힘들었어.	10	70	20
사춘기 때부터 절벽 끝에 서 있는 느낌을 자주 받았어	10	20	70
살 쪘다고 사람이냐 뭐냐 하는 사회도 싫고.	80	10	10
호르몬 때문인지 왜 사는지 모르겠고 적적해요	70	10	20
이렇게 살기가 힘들 수 있을까?	10	10	80
새벽까지 그냥 문제집만 펼쳐놓고 멍하니 있어.	5	5	90
맨날 모든 게 다 허무하고 부질없단 생각만 하게 돼.	5	5	90
내가 몸 관리를 못 한 거 같아서 죄책감이 생겨	10	80	10
밥도 잘 안 먹는데 잠도 잘 안 자요	20	10	70
먹는 양이 너무 줄었어	10	10	80
학교에 가기도 싫고, 모든 게 다 싫어요.	20	10	70
어쨌든 요즘 너무 우울하고 힘들어.	5	5	90
나 원망하는 거 멈춰야 하는데 잘 안 돼	90	5	5
입덧이 심해서 낙을 잃었어	70	10	20
 할 일이 쌓이는데도 너무 하기 싫어	90	5	5
너무 과민하게 반응하네	20	10	70
절망했고, 체념했고, 그래서 슬픈 것 같아	10	70	20
남편때문에 늘어지기만 해	5	5	90
담배를 펴야만 적적한 게 좀 괜찮아져	20	70	10
본과 1학년때 제일 힘들었어요.	5	5	90
술 마시고 나면 또 밥은 먹기가 싫고.	10	10	80
먹고 자고 하는 게 전부인 이런 하루하루가 너무 허무하고 슬퍼요	70	20	10
하루 종일 멍해서 무서워	80	10	10
자존감이 없어서 혼자 있는 게 편해	5	90	5
저는 자식까지 차별하는 엄마가 너무 미워요.	90	5	5
화병이 생긴 것 같아	70	10	20
시어머니의 잔소리때문에 솔직히 제가 맘 속으로 미워했거든요.	70	20	10
일을 때려치워야 할 정도로 초조함이 심하고 숨이 가빠	10	20	70
정말… 하루하루 죽고 싶은 마음뿐이야.	10	80	10
저도 그 순간의 화를 왜 못 참는지 모르겠어요.	80	10	10
그냥 애랑 둘이 죽어버릴까 하는 생각도 들어.	10	80	10
춥거나 더우면 더 가만히 못 있는 거 같아	5	5	90
혼전 임신이라고 시댁식구들이 뒤에서 빈정대더라고.	5	90	5
회사 처음에 들어가서 일할 때는 좋았는데 졸업하고 나니까 되게 울적하더라.	20	70	10
다음날에는 다시 무기력해져요.	20	10	70
다들 나를 놀리는 것 같아서 혼자 있고만 싶어.	5	90	5
하루 종일 롤러코스터 타는 거 같아	10	20	70
자존감이 바닥됐어	20	70	10
나 우울해.	10	10	80
집중력이 흐릿하네요	5	5	90
이 일을 10년이나 할 자신도 없고…	20	10	70
취업도 못 하고 계속 알바만 하는 것도 너무 우울해요.	20	10	70
계속 침울하니까 혼자 일기 써	80	10	10
계속 생각하면 나만 괴롭잖아.	5	5	90
진짜 너무 힘들고 괴로워서 맨날 죽고 싶단 생각만 하는 것 같아.	10	20	70
요즘 정말 공허한 느낌	70	20	10
혼자 있으면 더 적적해	10	80	10
인공수정 실패하고 나니까 마지막 희망도 사라진 느낌이었어	5	5	90
아무 이유 없이 내가 미워져	80	10	10
지금이 회사에서 가장 중요한 시기인데… 자꾸 이러니까 뭔가 더 우울해지고…	10	20	70
동생 진짜 죽여버릴까. 넘 죽여 버리고 싶다.	70	20	10
그냥… 죽고 싶어요.	20	70	10
모든 게 내 잘못 같고 자괴감 느껴	10	10	80
왜 내인생은 이렇게 계속 암담한거지?	20	10	70
사소한 일에도 사람들이 싫어지고 앙금이 생겨	20	70	10
근데 얘기하다 보니까 화가 진짜 엄청 치밀어 오르는 거예요.	80	10	10
어느 쪽이든 다 괴로워서 요즘 정말 살고 싶지가 않아.	10	10	80
왜 이렇게 외로운지 사는 게 힘든 것 같아	10	70	20
식욕이 없는 것 같아요.	5	5	90
용 써도 안되니까 그냥 포기하게 돼	5	90	5
요즘에는 어디 잘 나가지도 않거든요.	5	5	90
기분이 조금이라도 처지면 의욕이 사라져요	10	20	70
밥이 무슨 맛인지도 모르겠어요. 살만 찌고, 왜 먹는 거죠?	5	5	90
무기력과 우울 속에 빠져드는 것 같아	10	10	80
인생에 애착이 안 생기고 그냥 다 포기하고 싶어져	5	90	5
태교 하려고 클래식 들으면 너무 힘 빠져	5	5	90
미혼모라고 친구들까지 나를 비웃는 느낌이 들었어.	10	70	20
함께 힘든 걸 나누는 느낌이 아니라서 자꾸 미워지는 것 같아 	20	70	10
죽고 싶어…	20	70	10
인생은 살면 살수록 너무 힘든 거야.	10	10	80
인생도 다 짜증나고 내 모습도 한심스럽고 이러니까 아무도 안 보게 돼	20	70	10
과체중 된 건 다 회사때문이야	10	10	80
내 인생을 잃은 거 같아서 패배감 들어	20	70	10
나만이 나를 위로해.	20	70	10
인생이 허무하고, 화가 나서 죽고 싶어.	5	90	5
이유없이 살이 쪄	10	10	80
병수발도 힘든데..정신적인 괴롭힘까지 당하니까 정말 미칠것 같아요.	10	20	70
속이 터져서 불만이 느는 것 같아	10	20	70
잘 수가 없으니까 사람 돌아버린다	10	20	70
아무도 내 편이 없어요.	20	70	10
바뀐 약을 한달 정도 먹은 거 같은데… 살이 갑작스럽게 많이 쪘어요.	10	20	70
신랑때문에 잘 수가 없어	5	5	90
거울볼때마다 너무 못 생긴 것 같다는 생각이 들어.	20	70	10
자살해버릴까?	10	80	10
하루 종일 안절부절못하고 숨도 못 쉬겠고 사는 게 사는 거 같지 않아	10	20	70
원래는 45kg였는데 지금은 33kg거든.	5	5	90
하지만 힘들고.. 계속 너무 지쳐.	10	10	80
자존감도 바닥이고 마음이 너무 괴롭네	90	5	5
요즘 거의 매일 패배감이 드는 것 같아.	10	70	20
시댁만 가면 입맛도 없고 힘도 안 나	10	10	80
시댁에서 깔보는 느낌이 자꾸 들어서 너무 힘들군요	10	80	10
영원히 잠들면 좋겠다는 생각이 순간적으로 들어서, 약국에서 처방 받은 수면제를 한꺼번에 다 먹었어.	5	90	5
어느 다리에서 죽어야 사람들이 늦게 찾을까?	10	70	20
내 머리 위로 둔기가 떨어졌으면 좋겠어.	10	80	10
따가운 시선을 받다 보니 성격도 소심해져.	5	90	5
나한테 실망한 친구 말 생각하면 저 스스로가 너무 찌질해지는 것 같고.	10	10	80
1차 기형아 검사 받고 나서는 기운이 없네	20	10	70
드라마 내용이 이해가 안 돼	5	5	90
세상에 내 편이 없는 것 같아서 허망해요	70	20	10
임신하고 나선 좋아하던 거에 흥미를 잃고 우울하기만 해	70	20	10
점점 늙어가고 못생겨지고.	10	80	10
이 세상에 희망 따위 하나도 없는 것 같아.	20	70	10
이 정도 일로 버거워하는 내가 못마땅해	70	10	20
가족들때문에 계속 널부러져 있게 돼	5	5	90
키가 163cm인데 38kg까지 빠졌을 정도예요.	10	20	70
요새 부쩍 나를 무시하는 사람들이 많이 생긴 것 같아.	5	90	5
 패배감 너무 심해서 어디 상담이라도 받고 싶어	10	80	10
기분도 안좋아지고 너무 괴로웠어.	10	10	80
쓸쓸하니까 핸드폰만 보는 것 같아	20	70	10
잠 깨도 그냥 누워만 있어	5	5	90
능력 없는 인간으로 살아가는게 너무 괴롭게 느껴져	70	20	10
태교 뜨개질 이런 거 알아보다가 다시 침대에 눕고 그래	10	10	80
너무 외롭기도 했지만, 버텼어요.	20	70	10
아무도 내 마음을 몰라주는것 같아. 그냥 애랑 둘이 죽어버리고 싶어.	10	70	20
힘이 빠져서 죽을 맛이야	10	20	70
일단 고용노동부에 물어보긴 했는데 아직도 너무 화가 나.	70	10	20
식욕이 떨어졌어요.	5	5	90
계속 얕게밖에 못 자는 이유를 모르겠어	20	10	70
몸이 처져서 미칠 거 같아	10	20	70
정형화된 사랑의 틀에 대한 혐오가 생겼어.	70	10	20
임신하고 몸이 엉망이 되니까 너무 고통스럽더라	90	5	5
자꾸 딴 생각이 들고 멍해지고…	5	5	90
마음이 너무 답답하고 절망에 휩싸이는 것 같아	5	90	5
친구들이 만나자고 말만 꺼내고 너무 나가기 싫고 안절부절못해	5	5	90
날씨가 안 좋아서 우울해요	80	10	10
완전 종이인형 된 것 같아	10	20	70
그렇게 혼자 지내다 보니까 다시 또 외롭다는 생각이 들었어.	5	90	5
멍하니 죽고 싶다는 생각만 해요.	20	10	70
뭐든지 다 순식간에 지겨워지는 것 같아	70	20	10
오빠때문에 뚱뚱해졌어	10	20	70
화를 낼 때 아주 돌아버릴 것 같다니까	70	20	10
신랑 집은 잘 사는데 나는 능력도 없고 집도 별로니까 너무 주눅들게 되고 힘들어	10	70	20
사는 게 너무 막막하고 괴롭네요.	20	70	10
눈을 뜨니까 몸이 반쪽이 됐더라.	10	20	70
우울한 게 통제가 안 돼	70	20	10
턱이 두 개가 됐어	10	20	70
수면무호흡증이 심해요	5	5	90
패배감이 심각해.	20	70	10
세상 모든 나쁜 일이 내 탓처럼 느껴져	90	5	5
모르겠어, 뭔가를 더 하고 싶지도 않고 원하고 싶지도 않아.	10	10	80
자괴감이 심해서 사표까지 냈어	5	5	90
너무 힘겨워요…	90	5	5
그래서 여기에 친구가 한 명도 없으니까 좀 외로워.	5	90	5
몸에 있던 살이 다 빠진 것 같아요	10	10	80
너무 지친다…	5	5	90
별일도 없는데 밥맛이 없어요.	10	10	80
기분이 정말 롤러코스터야	5	5	90
잠 안 오는 사람처럼 뒤척거리게 돼요	10	20	70
남편이 화를 내니까 이제 내편은 아무도 없는거같고.	20	70	10
성욕이 없는 상태로 평생 살까봐 두려워	20	10	70
슬럼프 때문에 낮잠만 엄청 많이 자	10	10	80
너무 힘이 빠져서 괴로워	5	5	90
식욕이 안 돌아서 기력이 없어	10	20	70
삶의 기쁨을 잃은 것 같아	70	10	20
기차 타면 신경질 나	90	5	5
뭘 해야겠다는 마음도 안 생기고 잠도 안와서 맥주를 많이 마시고 잤어.	5	5	90
임신하고 몸이 안 좋으니까 너무 고통스럽더라	90	5	5
기분이 진짜 너무 구려	10	20	70
아무리 자도 몸이 뻐근한 게 애기 때문인가 봐	10	20	70
아무런 의욕도 생기지 않고 이상할 정도로 피곤해	10	20	70
자꾸 남하고 비교하는 나도 웃긴 것 같고 그냥 요즘 되게 의기소침 해.	5	5	90
임신하고 나서 너무 쓸쓸해진 것 같아	20	70	10
남편만 보면 진짜 이혼하고 싶어	80	10	10
나 조차도 나 자신을 무시하게 돼.	20	70	10
